id,name,category,price,quantity,description
1,Laptop,Electronics,999.99,50,"High-performance laptop with Intel Core i7 processor and 16GB RAM"
2,Smartphone,Electronics,699.99,100,"Latest smartphone model with 6.5-inch OLED display and dual-camera setup"
3,Headphones,Electronics,99.99,200,"Over-ear headphones with noise-cancellation feature and Bluetooth connectivity"
4,Desk Chair,Furniture,149.99,30,"Ergonomic desk chair with adjustable lumbar support and mesh back"
5,Desk Lamp,Home Decor,29.99,80,"Modern desk lamp with adjustable brightness levels and USB charging port"
6,Running Shoes,Apparel,79.99,150,"Lightweight running shoes with breathable mesh upper and responsive cushioning"
7,Backpack,Accessories,49.99,120,"Water-resistant backpack with multiple compartments and padded laptop sleeve"
8,Coffee Maker,Appliances,129.99,40,"Programmable coffee maker with 12-cup capacity and built-in grinder"
9,Notebook,Stationery,5.99,300,"Lined notebook with durable cover and perforated pages for easy tearing"
10,Water Bottle,Accessories,12.99,200,"Stainless steel water bottle with vacuum insulation and leak-proof design"
11,TV,Electronics,799.99,60,"Smart TV with 4K Ultra HD resolution and built-in streaming apps"
12,Bluetooth Speaker,Electronics,39.99,180,"Portable Bluetooth speaker with 20W output and IPX7 waterproof rating"
13,Sofa,Furniture,499.99,20,"Modern sofa with faux leather upholstery and adjustable headrests"
14,Clock,Home Decor,14.99,150,"Wall clock with silent sweep movement and large easy-to-read numbers"
15,T-shirt,Apparel,19.99,250,"Cotton crewneck t-shirt with classic fit and tag-free neckline"
16,Sunglasses,Accessories,29.99,100,"Polarized sunglasses with UV400 protection and lightweight frame"
17,Toaster,Appliances,39.99,80,"2-slice toaster with extra-wide slots and removable crumb tray"
18,Pen,Stationery,1.99,500,"Pack of 10 ballpoint pens with medium point and smooth writing ink"
19,Travel Mug,Accessories,9.99,120,"Insulated travel mug with leak-proof lid and ergonomic grip"
20,Desktop Computer,Electronics,1299.99,40,"Powerful desktop computer with Intel Core i9 processor and NVIDIA GeForce RTX graphics"
21,Tablet,Electronics,299.99,90,"10-inch tablet with Full HD display and quad-core processor"
22,Bookshelf,Furniture,79.99,60,"Wooden bookshelf with adjustable shelves and sturdy construction"
23,Wall Art,Home Decor,49.99,100,"Canvas wall art with abstract design and ready-to-hang frame"
24,Running Shorts,Apparel,24.99,200,"Quick-drying running shorts with built-in briefs and zippered pocket"
25,Hat,Accessories,14.99,180,"Baseball cap with adjustable strap and embroidered logo"
26,Blender,Appliances,59.99,50,"High-performance blender with 1000W motor and BPA-free pitcher"
27,Sticky Notes,Stationery,2.99,400,"Pack of 100 sticky notes with assorted colors and adhesive backing"
28,Travel Backpack,Accessories,34.99,100,"Durable travel backpack with padded laptop compartment and water bottle pockets"
29,Printer,Electronics,89.99,30,"All-in-one printer with wireless connectivity and automatic document feeder"
30,Mouse,Electronics,129.99,150,"Wireless optical mouse with ergonomic design and adjustable DPI settings"
31,Dining Table,Furniture,199.99,40,"Rectangular dining table with solid wood construction and extendable leaf"
32,Candle Holder,Home Decor,9.99,200,"Metal candle holder with decorative cutout design and glass hurricane"
33,Sweater,Apparel,34.99,120,"Cozy sweater with ribbed cuffs and hem, made from soft acrylic knit"
34,Watch,Accessories,49.99,80,"Analog wristwatch with quartz movement and stainless steel band"
35,Rice Cooker,Appliances,49.99,70,"8-cup rice cooker with non-stick inner pot and automatic keep-warm function"
36,Notebook Set,Stationery,7.99,250,"Set of 3 notebooks with dotted grid pages and elastic closure"
37,Gaming Console,Electronics,399.99,25,"Next-gen gaming console with 4K gaming capabilities and SSD storage"
38,Wireless Mouse,Electronics,29.99,120,"Slim wireless mouse with silent clicking and long battery life"
39,Shoe Rack,Furniture,29.99,100,"3-tier shoe rack with stackable design and sturdy metal construction"
40,Wall Mirror,Home Decor,19.99,150,"Round wall mirror with minimalist frame and hook for easy hanging"
41,Jeans,Apparel,39.99,200,"Classic denim jeans with a slim fit and five-pocket styling"
